,payoutChange,divGrowth,payoutAvg, debtEquityAvg ,netMarginAvg,roicAvg, debtToEquity ,52WeekChange,SandP52WeekChange,auditRisk, beta ,boardRisk, bookValue ,compensationRisk, currentPrice , currentRatio ,debtToEquity,earningsGrowth,earningsQuarterlyGrowth, ebitda ,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue, enterpriseValue ,financialCurrency, floatShares , forwardEps , forwardPE , freeCashflow , fullTimeEmployees ,grossMargins, grossProfits ,heldPercentInsiders,heldPercentInstitutions,industry,lastSplitDate,lastSplitFactor, netIncomeToCommon ,numberOfAnalystOpinions, operatingCashflow ,operatingMargins,overallRisk, pegRatio , priceHint , priceToBook ,profitMargins, quickRatio ,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth, revenuePerShare ,sector,shareHolderRightsRisk, sharesOutstanding ,sharesPercentSharesOut, sharesShort , sharesShortPriorMonth ,shortPercentOfFloat, shortRatio , targetHighPrice , targetLowPrice , targetMeanPrice , targetMedianPrice , totalCash , totalCashPerShare , totalDebt , totalRevenue , trailingEps 
PBF,-63.62%,14.20%,57.76%, 2.39 ,1.37%,0.00%, 69.94 ,101.5%,15.2%,1, 1.43 ,4, 22.86 ,5, 52.38 , 1.66 ,69.935,,," 856,640,000.00 ",0.03391,9.432,0.32," 8,079,632,384.00 ",USD," 107,672,959.00 ", 4.87 , 10.76 ," (241,497,248.00)"," 3,165.00 ",4.918%," 941,873,000.00 ",,,Oil & Gas Refining & Marketing,,," 857,873,984.00 ",13," 1,028,414,016.00 ",2.59%,3, 0.21 , 2.00 , 2.29 ,3.40%, 0.61 ,hold,2.7,5.09%,33.82%,48.40%, 226.93 ,Energy,4," 119,847,000.00 ",5.26%," 5,984,988.00 "," 5,399,643.00 ",6.10%, 2.92 , 71.00 , 40.00 , 53.15 , 55.00 ," 478,328,992.00 ", 4.20 ," 2,218,540,032.00 "," 25,261,797,376.00 ", 7.44 
KMPR,115.72%,-1.48%,130.60%, 3.05 ,2.92%,3.04%, 47.02 ,73.2%,15.2%,2, 1.08 ,1, 39.68 ,2, 84.95 , 1.08 ,47.016,2.8%,2.7%," 349,700,000.00 ",0.123900004,16.007,1.983," 5,597,553,152.00 ",USD," 62,105,353.00 ", 5.10 , 16.66 ," 176,312,496.00 "," 5,550.00 ",34.491%," 886,000,000.00 ",17.03%,53.32%,Insurance - Diversified,922665600,1-Feb," 173,600,000.00 ",2," 328,000,000.00 ",11.32%,1, 1.90 , 2.00 , 2.14 ,6.24%, 1.08 ,buy,2.3,2.34%,8.57%,8.40%, 54.84 ,Financial Services,4," 64,743,700.00 ",1.96%," 1,591,519.00 "," 1,546,785.00 ",, 3.88 , 95.00 , 82.00 , 88.50 , 88.50 ," 818,899,968.00 ", 12.65 ," 961,800,000.00 "," 2,822,500,096.00 ", 3.38 
IAC,101.91%,-41.85%,31.58%, 1.40 ,3.87%,199.41%, 60.25 ,72.5%,15.2%,2, 1.29 ,10, 30.79 ,7, 209.10 , 2.78 ,60.254,233.8%,229.5%," 510,283,008.00 ",0.13312,34.732,4.624," 17,723,158,528.00 ",USD," 76,574,824.00 ", 5.80 , 36.05 ," 582,230,976.00 "," 7,000.00 ",79.490%," 2,656,231,000.00 ",1.30%,95.91%,Internet Content & Information,1219276800,2292/2000," 501,881,984.00 ",15," 638,777,984.00 ",9.70%,10, 1.12 , 2.00 , 6.79 ,13.09%, 2.49 ,buy,1.7,4.22%,22.36%,38.00%, 46.51 ,Technology,10," 77,427,696.00 ",4.10%," 3,411,762.00 "," 2,650,146.00 ",4.43%, 3.37 , 250.00 , 204.00 , 227.40 , 225.00 ," 1,765,239,040.00 ", 21.21 ," 1,996,020,992.00 "," 3,833,216,000.00 ", 5.23 
ARCB,65.06%,29.23%,24.56%, 1.13 ,1.50%,56.79%, 37.34 ,71.6%,15.6%,1, 1.85 ,3, 26.03 ,1, 50.90 , 1.31 ,37.341,-92.0%,-92.2%," 199,722,000.00 ",0.06774,6.362,0.431," 1,270,560,128.00 ",USD," 24,970,100.00 ", 3.46 , 14.71 ," 131,310,752.00 "," 13,000.00 ",9.128%," 241,269,000.00 ",1.34%,97.95%,Trucking,,," 62,324,000.00 ",9," 220,152,992.00 ",3.24%,4, 0.70 , 2.00 , 1.96 ,2.12%, 1.24 ,hold,3,4.36%,9.85%,10.10%, 114.95 ,Industrials,9," 25,684,100.00 ",5.58%," 1,433,457.00 "," 1,898,211.00 ",6.46%, 4.63 , 52.00 , 35.00 , 44.89 , 46.00 ," 227,320,000.00 ", 8.85 ," 249,632,000.00 "," 2,948,352,000.00 ", 2.34 
MORN,-6.73%,8.88%,25.89%, 0.76 ,17.33%,207.26%, 14.35 ,70.3%,15.2%,2, 0.78 ,6, 20.44 ,7, 138.42 , 1.71 ,14.345,-9.3%,-9.3%," 264,700,000.00 ",0.2732,21.614,5.905," 5,721,257,472.00 ",USD," 18,987,546.00 ", 2.84 ,," 156,187,504.00 "," 5,023.00 ",59.077%," 525,100,000.00 ",56.19%,40.70%,Business Services,,," 156,500,000.00 ",1," 277,600,000.00 ",20.70%,4,, 2.00 , 6.77 ,16.15%, 1.58 ,hold,3,8.94%,19.43%,10.10%, 22.77 ,Industrials,2," 42,636,100.00 ",0.39%," 168,306.00 "," 199,418.00 ",0.93%, 1.75 , 75.00 , 75.00 , 75.00 , 75.00 ," 351,900,000.00 ", 8.25 ," 125,000,000.00 "," 968,899,968.00 ", 3.64 
BR,-2.56%,10.69%,43.42%, 1.97 ,9.46%,868.77%, 96.26 ,70.0%,15.2%,1, 0.56 ,2, 9.41 ,7, 136.71 , 1.28 ,96.262,10.2%,10.5%," 806,899,968.00 ",0.18636,20.613,3.841," 16,632,887,296.00 ",USD," 115,546,945.00 ", 5.11 , 26.75 ," 498,212,512.00 "," 10,000.00 ",26.797%," 1,160,300,000.00 ",44.08%,37.28%,Business Services,,," 427,900,000.00 ",5," 693,600,000.00 ",13.74%,5, 2.16 , 2.00 , 14.53 ,9.88%, 1.13 ,hold,2.7,11.52%,40.79%,-1.90%, 37.07 ,Industrials,7," 116,325,000.00 ",2.29%," 2,665,334.00 "," 2,953,713.00 ",2.57%, 2.98 , 150.00 , 110.00 , 132.60 , 136.00 ," 264,000,000.00 ", 2.27 ," 1,053,400,000.00 "," 4,329,900,032.00 ", 3.56 
W,-100.00%,-100.00%,0.00%, (5.22),-4.79%,-177.33%, -   ,68.5%,15.2%,2, 2.22 ,5, (2.19),9, 143.96 , 0.89 ,,,," (263,602,000.00)",-0.046269998,-45.189,2.091," 11,912,028,160.00 ",USD," 55,790,498.00 ", (3.09), (46.59)," 55,961,376.00 "," 9,700.00 ",23.194%," 1,118,823,000.00 ",6.22%,113.17%,Specialty Retail,,," (357,708,992.00)",20," 96,158,000.00 ",-5.80%,10, (2.27), 2.00 ,,-6.28%, 0.69 ,buy,2.4,-20.27%,,47.40%, 64.59 ,Consumer Cyclical,10," 59,660,800.00 ",10.24%," 9,182,223.00 "," 10,434,009.00 ",22.71%, 5.22 , 150.00 , 60.00 , 121.00 , 123.00 ," 575,385,984.00 ", 6.42 ," 483,305,984.00 "," 5,696,738,816.00 ", (4.06)
SMHI,-506.90%,130.63%,-2.26%, 0.86 ,-29.19%,-15.53%, 64.02 ,67.5%,15.2%,2,,10, 26.97 ,7, 19.85 , 1.63 ,64.016,,," (3,078,000.00)",-0.01469,-239.122,3.512," 736,017,664.00 ",USD," 16,222,446.00 ", (2.00), (9.93)," (36,476,752.00)"," 1,818.00 ",18.059%," 14,184,000.00 ",7.22%,90.15%,Shipping & Ports,,," (45,371,000.00)",2," (52,683,000.00)",-36.57%,9,, 2.00 , 0.74 ,-21.65%, 1.54 ,buy,2.5,-4.31%,-9.60%,43.40%, 11.80 ,Industrials,7," 20,441,600.00 ",4.63%," 945,616.00 "," 939,421.00 ",8.24%, 24.76 , 26.00 , 22.00 , 24.00 , 24.00 ," 87,779,000.00 ", 4.29 ," 371,814,016.00 "," 209,578,000.00 ", (2.56)
MOV,-88.13%,5.93%,-7.16%, 0.33 ,3.75%,0.00%, -   ,66.5%,15.2%,1, (0.51),7, 20.02 ,6, 44.35 , 5.17 ,,64.2%,66.7%," 82,660,000.00 ",0.13525,10.292,1.392," 850,774,784.00 ",USD," 16,289,239.00 ", 2.96 , 14.98 ," 61,131,624.00 "," 1,000.00 ",53.812%," 300,178,000.00 ",3.71%,97.92%,Luxury Goods,1088380800,1-Feb," 707,000.00 ",2," 68,877,000.00 ",11.83%,9, 1.13 , 2.00 , 2.22 ,0.12%, 2.87 ,buy,2,7.17%,0.15%,11.90%, 26.44 ,Consumer Cyclical,10," 23,150,000.00 ",3.45%," 799,662.00 "," 931,359.00 ",5.81%, 6.39 , 62.00 , 50.00 , 56.00 , 56.00 ," 175,926,000.00 ", 7.60 , -   ," 611,148,992.00 ", 0.03 
NCMI,251.69%,4.36%,1026.16%, (3.52),2.56%,374.19%, -   ,64.7%,15.2%,10, 0.66 ,8, (4.96),7, 9.12 , 2.12 ,,-41.7%,-19.2%," 202,800,000.00 ",0.44967,9.204,4.139," 1,866,670,592.00 ",USD," 50,548,118.00 ", 0.42 , 21.71 ," 85,500,000.00 ", 572.00 ,71.219%," 301,400,000.00 ",2.41%,87.81%,Marketing Services,,," 900,000.00 ",5," 136,500,000.00 ",37.81%,8, (4.12), 2.00 ,,0.20%, 2.02 ,hold,2.8,9.45%,,17.10%, 6.15 ,Consumer Cyclical,6," 76,915,504.00 ",2.96%," 2,336,839.00 "," 1,845,950.00 ",4.44%, 4.86 , 10.50 , 6.00 , 8.70 , 9.00 ," 52,400,000.00 ", 0.68 ," 941,500,032.00 "," 451,000,000.00 ", 0.01 
DSW,33.62%,-1.46%,66.11%, 0.51 ,4.06%,99.98%, -   ,64.7%,15.2%,2, 0.49 ,7, 11.45 ,4, 32.08 , 2.60 ,,,," 275,404,992.00 ",0.09393,8.353,0.785," 2,300,360,192.00 ",USD," 68,746,755.00 ", 1.87 , 17.16 ," 140,208,752.00 "," 12,000.00 ",36.429%," 1,004,683,000.00 ",6.91%,103.02%,Apparel Stores,1383523200,1-Feb," 1,750,000.00 ",11," 252,951,008.00 ",6.79%,9, 2.40 , 2.00 , 2.80 ,0.06%, 0.82 ,hold,2.8,8.63%,0.19%,16.40%, 36.60 ,Consumer Cyclical,10," 72,561,000.00 ",9.87%," 7,923,715.00 "," 8,415,009.00 ",15.43%, 7.27 , 38.00 , 25.00 , 31.18 , 31.00 ," 289,115,008.00 ", 3.60 , -   ," 2,932,113,920.00 ", 0.01 
LXFR,54.11%,7.72%,81.15%, 1.60 ,3.79%,139.86%, 54.91 ,64.5%,15.2%,,,, 6.79 ,, 20.95 , 2.43 ,54.908,311.1%,308.0%," 65,600,000.00 ",0.13689,10.038,1.374," 658,473,024.00 ",USD," 23,862,625.00 ", 1.20 , 17.46 ," 35,425,000.00 "," 1,769.00 ",25.313%," 108,600,000.00 ",4.02%,85.06%,Diversified Industrials,,," 21,600,000.00 ",1," 45,100,000.00 ",9.81%,, 1.12 , 2.00 , 3.09 ,4.51%, 1.10 ,buy,2,6.99%,12.53%,20.30%, 18.08 ,Industrials,," 26,504,500.00 ",0.03%," 6,924.00 "," 27,082.00 ",0.03%, 0.07 , 15.00 , 15.00 , 15.00 , 15.00 ," 5,700,000.00 ", 0.22 ," 99,000,000.00 "," 479,200,000.00 ", 0.79 
CTRN,31.88%,38.65%,22.32%, 0.51 ,2.04%,35.65%, -   ,64.2%,15.2%,2, 0.17 ,1, 15.10 ,4, 32.28 , 2.30 ,,,," 45,302,000.00 ",0.057919998,7.261,0.421," 328,957,184.00 ",USD," 11,862,793.00 ", 2.00 , 16.14 ," 21,677,624.00 "," 2,700.00 ",38.466%," 289,219,000.00 ",9.31%,91.59%,Apparel Stores,,," 20,426,000.00 ",1," 40,578,000.00 ",3.28%,2, 1.17 , 2.00 , 2.14 ,2.61%, 0.76 ,buy,2,5.17%,10.06%,9.50%, 57.91 ,Consumer Cyclical,4," 13,106,900.00 ",4.00%," 547,137.00 "," 572,867.00 ",4.88%, 8.51 , 40.00 , 40.00 , 40.00 , 40.00 ," 77,001,000.00 ", 5.78 , -   ," 782,116,992.00 ", 1.51 
CATO,155.13%,-0.06%,173.42%, 0.57 ,4.18%,29.32%, -   ,62.5%,15.2%,1, (0.08),5, 13.87 ,8, 21.61 , 2.73 ,,,," 46,996,000.00 ",0.05526,5.939,0.328," 279,117,504.00 ",USD," 21,018,682.00 ", 1.30 , 16.62 ," 35,672,124.00 "," 10,500.00 ",36.727%," 296,884,000.00 ",4.47%,82.88%,Apparel Stores,1119916800,2-Mar," 16,559,000.00 ",1," 49,041,000.00 ",3.40%,9, 1.64 , 2.00 , 1.56 ,2.01%, 1.88 ,hold,3,3.40%,4.92%,0.90%, 35.06 ,Consumer Cyclical,10," 22,123,400.00 ",5.48%," 1,353,037.00 "," 1,204,302.00 ",7.12%, 4.57 , 23.00 , 23.00 , 23.00 , 23.00 ," 224,899,008.00 ", 9.42 , -   ," 850,496,000.00 ", 0.68 
SKYW,-134.12%,-29.05%,0.43%, 2.36 ,4.00%,27.05%, 159.59 ,60.3%,15.2%,2, 1.57 ,5, 35.75 ,4, 62.00 , 1.11 ,159.588,50.5%,50.3%," 731,907,968.00 ",0.22489001,7.507,1.688," 5,494,454,272.00 ",USD," 50,533,006.00 ", 5.49 , 11.29 ," (225,228,496.00)"," 17,000.00 ",32.081%," 980,270,000.00 ",2.96%,90.58%,Airlines,977097600,1-Feb," 473,864,000.00 ",6," 703,163,008.00 ",12.91%,1, 0.74 , 2.00 , 1.73 ,14.56%, 0.83 ,buy,2,4.66%,28.87%,1.80%, 62.70 ,Industrials,1," 52,078,200.00 ",1.08%," 561,109.00 "," 514,099.00 ",1.47%, 2.99 , 72.00 , 63.00 , 67.50 , 67.50 ," 649,089,984.00 ", 12.46 ," 2,969,380,096.00 "," 3,254,504,960.00 ", 8.93 
TECH,0.62%,0.61%,48.60%, 0.47 ,18.02%,299.61%, 31.42 ,59.8%,15.2%,10, 0.71 ,3, 28.69 ,9, 195.72 , 5.01 ,31.416,47.4%,51.0%," 202,600,992.00 ",0.31509,36.259,11.425," 7,346,199,552.00 ",USD," 37,590,610.00 ", 5.12 , 38.23 ," 85,237,248.00 "," 1,943.00 ",67.590%," 434,598,000.00 ",0.37%,97.47%,Biotechnology,975888000,1-Feb," 126,042,000.00 ",7," 170,367,008.00 ",25.42%,6, 3.39 , 2.00 , 6.82 ,19.62%, 3.80 ,buy,1.8,6.48%,12.44%,15.10%, 17.16 ,Healthcare,1," 37,731,300.00 ",2.72%," 1,021,494.00 "," 796,463.00 ",2.77%, 5.02 , 215.00 , 175.00 , 190.86 , 190.00 ," 181,754,000.00 ", 4.82 ," 339,000,000.00 "," 642,993,024.00 ", 3.31 
CTAS,6.50%,20.34%,22.36%, 1.50 ,12.17%,954.47%, 84.05 ,59.2%,15.2%,2, 1.09 ,9, 28.37 ,2, 215.19 , 2.55 ,84.047,116.8%,121.0%," 1,311,147,008.00 ",0.20244,19.369,3.921," 25,395,427,328.00 ",USD," 85,968,269.00 ", 8.03 , 26.80 ," 626,079,488.00 "," 41,000.00 ",44.908%," 2,908,523,000.00 ",15.18%,68.90%,Business Services,952473600,2-Mar," 772,137,984.00 ",8," 964,160,000.00 ",15.93%,8, 1.66 , 2.00 , 7.59 ,13.01%, 1.24 ,buy,2.4,9.34%,29.48%,9.10%, 60.76 ,Industrials,9," 106,279,000.00 ",3.29%," 3,499,852.00 "," 3,592,645.00 ",4.06%, 6.01 , 222.00 , 164.00 , 198.00 , 202.50 ," 138,724,000.00 ", 1.31 ," 2,535,309,056.00 "," 6,476,632,064.00 ", 7.56 
RELL,-102.85%,-2.18%,-3.17%, 0.20 ,-2.49%,-40.10%, -   ,58.7%,15.2%,, 1.11 ,, 10.44 ,, 8.81 , 4.60 ,,,," 6,346,000.00 ",0.03888,9.032,0.351," 57,316,192.00 ",USD," 8,655,106.00 ",,," (4,673,375.00)", 421.00 ,33.749%," 55,082,000.00 ",0.23%,63.18%,Electronics Distribution,515721600,2-Mar," 2,326,000.00 ",," 2,952,000.00 ",2.05%,, 1.31 , 2.00 , 0.84 ,2.34%, 2.78 ,sell,5,1.29%,1.74%,21.80%, 12.65 ,Technology,," 10,824,800.00 ",0.17%," 21,929.00 "," 15,361.00 ",0.20%, 1.05 ,,,,," 60,465,000.00 ", 4.67 , -   ," 163,212,000.00 ", 0.30 
COP,7.00%,-19.24%,-90.01%, 1.46 ,-10.91%,-1.33%, 47.96 ,58.4%,15.2%,2, 1.54 ,3, 26.71 ,9, 71.47 , 1.75 ,47.96,,," 12,506,999,808.00 ",0.37928,7.286,2.763," 91,123,204,096.00 ",USD," 1,161,130,769.00 ", 5.11 , 13.99 ," 6,600,500,224.00 "," 11,200.00 ",44.869%," 12,230,000,000.00 ",0.09%,73.50%,Oil & Gas E&P,1335830400,1311791/1000000," 4,527,000,064.00 ",18," 9,276,999,680.00 ",19.15%,8, 0.15 , 2.00 , 2.68 ,13.73%, 1.50 ,buy,2.3,5.37%,14.87%,26.00%, 27.73 ,Energy,7," 1,162,099,968.00 ",1.08%," 12,598,074.00 "," 16,007,086.00 ",1.08%, 2.21 , 85.00 , 72.00 , 80.67 , 80.00 ," 6,005,000,192.00 ", 5.17 ," 14,974,000,128.00 "," 32,975,998,976.00 ", 3.79 
