,ATR,BRO,GNTX,MORN,RACE,CBOE,INGR,JNPR,MKSI,NTES
priceToBook,4.997695,3.0403824,3.2666202,6.7726784,22.69844,3.7032819,2.5420375,2.1749446,2.540981,3.7028537
profitMargins,0.081870005,0.22296,0.24248,0.16152,0.17105,0.19408001,0.08816,0.03522,0.17954001,0.11594
profitMargins_finData,0.081870005,0.22296,0.24248,0.16152,0.17105,0.19408001,0.08816,0.03522,0.17954001,0.11594
quickRatio,2.241,0.793,3.298,1.582,1.819,0.84,1.431,2.115,3.454,1.62
recommendationKey,hold,hold,hold,hold,buy,buy,hold,hold,buy,buy
recommendationMean,2.9,3,2.8,3,2.3,2.4,3,2.9,1.6,2.2
returnOnAssets,0.075780004,0.05488,0.14219,0.089449994,0.123950005,0.06824,0.093389995,0.04637,0.13069001,0.06683
returnOnEquity,0.16419001,0.16188999,0.22467,0.19434999,0.8122,0.17317,0.19104,0.03546,0.23621,0.15371999
revenueGrowth,0.15,0.016,0.027,0.101,-0.016,0.042,0.027,-0.08,0.192,0.217
revenuePerShare,42.749,6.926,6.52,22.771,21.051,23.851,81.707,13.161,39.046,66.713
sector,Consumer Cyclical,Financial Services,Consumer Cyclical,Industrials,Consumer Cyclical,Financial Services,Consumer Defensive,Technology,Technology,Technology
shareHolderRightsRisk,5,1,5,2,5,6,2,4,9,1
sharesOutstanding,62183200,279273984,268916000,42636100,188646000,111819000,71027200,344795008,54791300,131329000
sharesPercentSharesOut,0.0254,0.014,0.0517,0.0039,0.0146,0.021,0.024400001,0.0545,0.0153,0.0137
sharesShort,1579279,3904083,13914567,168306,3573502,2351494,1732388,18793389,836903,1802543
sharesShortPreviousMonthDate,1531440000,1531440000,1531440000,1531440000,1531440000,1531440000,1531440000,1531440000,1531440000,1531440000
sharesShortPriorMonth,1355661,3814552,11581147,199418,3274322,2605189,1953758,20220806,1221912,2341900
shortRatio,5.63,3.7,6.27,1.75,2.7,2.99,2.26,4.48,1.28,1.78
targetHighPrice,115,33,29,75,171.5,120,125,33,155,373.6
targetLowPrice,85,23,12.5,75,93.68,100,90,20,118,254.04
targetMeanPrice,101.75,29.21,23.06,75,140.23,108.79,105.43,26.79,129,294.63
targetMedianPrice,105,29,25,75,150.58,109,105,26.5,125,288.91
totalCash,718091008,489088992,467719936,351900000,764567488,271800000,365000000,3122700032,631003008,6707442176
totalCashPerShare,11.548,1.751,1.739,8.254,4.053,2.431,5.139,9.057,11.516,51.589
totalDebt,1254656000,866958976,23125000,125000000,2158800128,1214099968,1674000000,2137699968,354607008,1934312576
totalRevenue,2664178944,1920386048,1818599808,968899968,3975464704,2677299968,5887000064,4784000000,2125481984,8746429440
trailingEps,3.38,1.507,1.571,3.642,3.576,4.555,7.07,0.462,6.912,7.706
